company_id,flight_number,scheduled_departure_date_local,scheduled_arrival_station_code,scheduled_departure_datetime_local,fleet_type,load_factor,turn_time_pressure,transfer_bag_ratio,special_requests_count,difficulty_score,difficulty_class
OO,4792,2025-08-04,ROA,2025-08-04 17:57:00+00:00,ERJ-175,0.8552631578947368,8,0.47619047619047616,3.0,0.6124846646847596,Medium
UA,920,2025-08-03,LHR,2025-08-03 18:05:00+00:00,B767-300,1.0239520958083832,90,0.25874125874125875,3.0,0.6299971955077934,Medium
UA,1776,2025-08-10,PHL,2025-08-10 18:20:00+00:00,B737-800,1.0843373493975903,25,0.4470588235294118,0.0,0.6164325894474175,Medium
OO,5790,2025-08-06,CRW,2025-08-06 18:20:00+00:00,CRJ-200,1.1,194,0.7407407407407407,2.0,0.6798054438250127,Difficult
UA,1398,2025-08-05,ATL,2025-08-05 18:20:00+00:00,B737-800,0.8192771084337349,24,0.7285714285714285,2.0,0.6278723176730592,Medium
OO,5470,2025-08-07,GEG,2025-08-07 08:40:00+00:00,ERJ-175,0.9605263157894737,15,0.575,0.0,0.6182831225803769,Medium
UA,374,2025-08-15,MSP,2025-08-15 16:10:00+00:00,A319-100,1.0158730158730158,11,0.7228915662650602,3.0,0.7230467862221557,Difficult
UA,1577,2025-08-15,SFO,2025-08-15 14:40:00+00:00,B757-300,1.1153846153846154,57,0.4429530201342282,2.0,0.678445780048092,Difficult
UA,881,2025-08-03,HND,2025-08-03 12:50:00+00:00,B787-10,1.1635220125786163,210,0.6637931034482759,8.0,0.8061082256777555,Difficult
UA,2006,2025-08-09,GUA,2025-08-09 09:14:00+00:00,B737-MAX8,1.1325301204819278,25,0.3105263157894737,27.0,0.781010037221612,Difficult
UA,307,2025-08-14,COS,2025-08-14 09:15:00+00:00,B737-MAX9,0.8212290502793296,38,0.2823529411764706,2.0,0.5861090661904085,Easy
UA,1538,2025-08-08,SAV,2025-08-08 11:05:00+00:00,B737-700,1.492063492063492,57,0.20689655172413793,3.0,0.6503182235648629,Medium
UA,1006,2025-08-02,LGA,2025-08-02 18:00:00+00:00,B737-800,1.1987951807228916,12,0.4383561643835616,7.0,0.6755416352747797,Difficult
G7,4395,2025-08-14,TVC,2025-08-14 18:15:00+00:00,CRJ-550,1.02,103,0.8378378378378378,2.0,0.7013763240815301,Difficult
UA,1538,2025-08-06,SAV,2025-08-06 11:05:00+00:00,B737-700,0.9206349206349206,52,0.4492753623188406,5.0,0.6547202109053254,Medium
UA,2138,2025-08-08,LGA,2025-08-08 14:05:00+00:00,B737-800,1.0060240963855422,11,0.273972602739726,0.0,0.5344919749257426,Easy
G7,4481,2025-08-15,GRR,2025-08-15 07:00:00+00:00,CRJ-550,0.82,615,0.7567567567567568,0.0,0.6028591022965752,Medium
OO,5108,2025-08-14,SLN,2025-08-14 16:45:00+00:00,CRJ-200,0.94,56,0.36585365853658536,1.0,0.6046151883930666,Medium
YX,3568,2025-08-15,YYZ,2025-08-15 10:50:00+00:00,ERJ-175,1.0921052631578947,33,0.32608695652173914,1.0,0.6398551166563221,Medium
OO,4739,2025-08-03,GRB,2025-08-03 15:35:00+00:00,CRJ-200,1.22,40,0.5,1.0,0.6577307847416465,Medium
UA,664,2025-08-02,LGA,2025-08-02 16:00:00+00:00,B737-800,1.1927710843373494,349,0.30851063829787234,6.0,0.5979454070548854,Medium
OO,5517,2025-08-04,PVD,2025-08-04 18:15:00+00:00,ERJ-175,1.0263157894736843,53,0.6888888888888889,1.0,0.644379260634302,Medium
